timestamp,open,high,low,close,volume
2024-10-23,167.36,174.0,164.11,170.66,284204.34572819
2024-10-24,170.68,179.0,170.47,177.06,303306.82590262
2024-10-25,177.05,177.41,159.21,164.71,507399.56043057
2024-10-26,164.7,172.9,162.26,170.69,183135.01989104
2024-10-27,170.7,177.98,170.15,176.48,212097.0297863
2024-10-28,176.48,179.51,172.35,178.1,409467.65037797
2024-10-29,178.1,183.2,176.51,179.3,396810.22025735
2024-10-30,179.32,181.12,173.08,174.8,187071.70334784
2024-10-31,174.8,176.3,167.41,168.48,344126.5644865
2024-11-01,168.49,173.87,163.49,166.06,220472.81472543
2024-11-02,166.06,168.45,162.25,166.05,111352.70281929
2024-11-03,166.07,166.4,157.94,162.44,165640.63817915
2024-11-04,162.42,164.77,155.0,157.9,202428.01163128
2024-11-05,157.89,169.26,156.74,166.66,288805.92411984
2024-11-06,166.66,190.0,166.36,186.87,803416.03265482
2024-11-07,186.88,197.9,186.09,196.44,403567.98615428
2024-11-08,196.52,205.0,195.8,199.95,377877.02066081
2024-11-09,199.94,203.37,195.26,200.1,311228.28668684
2024-11-10,200.11,215.7,198.91,210.24,620418.55020788
2024-11-11,210.24,224.57,204.5,222.37,729399.93927565
2024-11-12,222.4,225.2,204.92,211.82,750295.48224225
2024-11-13,211.84,220.8,201.2,215.46,637858.9915009
2024-11-14,215.47,222.71,207.0,209.46,445384.48232699
2024-11-15,209.58,220.23,204.74,218.43,616858.84647509
2024-11-16,218.54,222.22,213.67,215.67,380013.20630768
2024-11-17,215.67,241.86,212.38,237.51,617480.05743191
2024-11-18,237.54,248.32,234.15,239.95,1033563.75458367
2024-11-19,239.96,247.84,233.72,238.0,574369.53659016
2024-11-20,238.01,242.67,230.74,235.57,388317.19702635
2024-11-21,235.59,259.86,230.0,256.78,650739.22253877
2024-11-22,256.7,264.45,251.7,257.25,358289.96091057
2024-11-23,257.21,264.02,253.2,255.26,367378.26258221
2024-11-24,255.26,259.96,241.21,252.93,333221.51007913
2024-11-25,252.93,256.65,231.32,233.96,430081.09050263
2024-11-26,234.1,239.68,221.82,230.68,445887.77534585
2024-11-27,230.6,245.0,227.66,242.26,265621.87370685
2024-11-28,242.3,245.46,233.0,237.59,142466.63732431
2024-11-29,237.65,247.04,236.58,243.47,301558.57684629
2024-11-30,243.46,245.34,237.56,237.75,173213.10112432
2024-12-01,237.75,239.84,234.5,237.0,245637.14297749
2024-12-02,237.01,238.2,220.05,225.89,449119.02142115
2024-12-03,225.79,239.63,215.23,234.04,404198.40318743
2024-12-04,234.05,240.81,224.75,229.53,403693.45685276
2024-12-05,229.52,244.92,223.31,236.22,620155.53278129
2024-12-06,236.22,247.01,231.32,237.07,309456.21166485
2024-12-07,237.13,243.83,234.59,238.32,214532.65779003
2024-12-08,238.31,241.53,233.43,237.24,98028.80985102
2024-12-09,237.18,237.36,205.07,216.93,450807.49061271
2024-12-10,216.93,224.49,203.14,213.69,366822.25632421
2024-12-11,213.71,231.0,211.68,227.47,254767.05857507
2024-12-12,227.47,234.61,225.77,226.98,259746.1006365
2024-12-13,226.98,228.31,220.66,224.92,153050.76416467
2024-12-14,224.93,227.3,215.19,219.8,111707.467554
2024-12-15,219.92,225.37,215.87,224.21,126791.5581817
2024-12-16,224.22,227.32,213.28,216.19,233321.18783286
2024-12-17,216.22,228.85,211.51,223.23,296275.82554415
2024-12-18,223.24,225.89,204.77,206.49,254672.37304901
2024-12-19,206.49,215.0,186.8,193.65,452547.72987089
2024-12-20,193.67,199.44,175.01,194.4,463451.48207988
2024-12-21,194.4,201.91,178.5,181.06,308103.06357522
2024-12-22,181.21,187.86,176.87,180.34,218352.28244065
2024-12-23,180.34,193.25,176.48,189.91,250727.38184464
2024-12-24,189.9,198.7,185.97,196.92,147273.31179641
